district,city,landSize,buildingSize,bedrooms,bathrooms,floors,garages,electricity,furnishing,priceNumeric
Caturtunggal,Yogyakarta,120.0,130.0,4.0,3.0,2.0,,3500 Watt,Furnished,2150000000
Gamping,Sleman,139.0,110.0,3.0,3.0,2.0,,Lainnya,,1300000000
Gamping,Sleman,139.0,110.0,3.0,3.0,1.0,1.0,Lainnya,Semi Furnished,1300000000
Depok,Sleman,110.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,900000000
Sewon,Bantul,127.0,60.0,2.0,1.0,,,2200 Watt,Unfurnished,1300000000
Purwomartani,Sleman,120.0,120.0,3.0,2.0,1.0,,Lainnya,Unfurnished,670000000
Pengasih,Kulon Progo,114.0,50.0,2.0,1.0,1.0,,Lainnya,,550000000
Sleman,Sleman,141.0,153.0,4.0,4.0,2.0,,Lainnya,Unfurnished,3040000000
Condong Catur,Sleman,1600.0,500.0,6.0,5.0,1.0,5.0,Lainnya,Unfurnished,10000000000
Sleman,Sleman,126.0,90.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1000000000
Wates,Kulon Progo,114.0,50.0,2.0,1.0,1.0,,Lainnya,Furnished,398000000
Maguwoharjo,Yogyakarta,97.0,121.0,3.0,3.0,2.0,,Lainnya,,1690000000
Sleman,Yogyakarta,125.0,85.0,3.0,2.0,1.0,,Lainnya,,950000000
Prambanan,Sleman,73.0,36.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,340000000
Ngemplak,Sleman,165.0,110.0,4.0,3.0,2.0,,Lainnya,,1780000000
Gamping,Sleman,163.0,88.0,2.0,2.0,2.0,1.0,Lainnya,,1700000000
Sleman,Yogyakarta,139.0,90.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,1150000000
Sleman,Sleman,123.0,130.0,4.0,4.0,2.0,,3500 Watt,Unfurnished,2280000000
Kalasan,Sleman,67.0,36.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,435000000
Ngaglik,Sleman,225.0,150.0,4.0,3.0,1.0,1.0,Lainnya,,1600000000
Ngaglik,Sleman,80.0,321.0,4.0,2.0,1.0,,2200 Watt,Unfurnished,2500000000
Sedayu,Bantul,80.0,48.0,2.0,1.0,1.0,,Lainnya,Unfurnished,299000000
Sewon,Bantul,75.0,40.0,2.0,1.0,1.0,,Lainnya,Unfurnished,350000000
Kasihan,Bantul,90.0,70.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,590000000
Umbulharjo,Yogyakarta,171.0,150.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,990000000
Godean,Sleman,103.0,120.0,3.0,4.0,2.0,,Lainnya,Semi Furnished,1600000000
Sedayu,Bantul,73.0,36.0,2.0,1.0,1.0,,Lainnya,Furnished,400000000
Depok,Sleman,324.0,279.0,5.0,3.0,2.0,2.0,5500 Watt,Unfurnished,4000000000
Sedayu,Bantul,73.0,36.0,2.0,1.0,1.0,,Lainnya,Unfurnished,299000000
Sleman,Sleman,102.0,55.0,2.0,1.0,1.0,,Lainnya,Unfurnished,599000000
Purwomartani,Sleman,84.0,33.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,350000000
Ngemplak,Sleman,120.0,80.0,3.0,2.0,1.0,,Lainnya,Unfurnished,820000000
Purwomartani,Sleman,190.0,116.0,4.0,2.0,1.0,,Lainnya,,725000000
Kalasan,Sleman,86.0,86.0,3.0,2.0,2.0,,1300 Watt,Unfurnished,795000000
Condong Catur,Sleman,900.0,300.0,4.0,3.0,1.0,1.0,3300 Watt,Furnished,8000000000
Godean,Sleman,128.0,70.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,825000000
Maguwoharjo,Yogyakarta,144.0,100.0,3.0,2.0,1.0,,Lainnya,,1150000000
Ngaglik,Sleman,90.0,70.0,3.0,1.0,1.0,,Lainnya,,785000000
Ngaglik,Sleman,127.0,71.0,3.0,2.0,1.0,,Lainnya,Unfurnished,895000000
Ngaglik,Sleman,365.0,400.0,6.0,4.0,2.0,1.0,Lainnya,Unfurnished,4500000000
Ngaglik,Sleman,94.0,84.0,2.0,1.0,1.0,,Lainnya,,820000000
Kaliurang,Sleman,120.0,85.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,695000000
Condong Catur,Sleman,90.0,90.0,4.0,2.0,1.0,,Lainnya,,920000000
Ngaglik,Sleman,158.0,190.0,4.0,3.0,2.0,,Lainnya,,1950000000
Ngaglik,Sleman,120.0,162.0,4.0,2.0,2.0,,Lainnya,,1760000000
Ngaglik,Sleman,673.0,350.0,4.0,3.0,1.0,1.0,Lainnya,,1990000000
Ngaglik,Sleman,119.0,85.0,3.0,2.0,1.0,,Lainnya,,1200000000
Ngaglik,Sleman,108.0,55.0,3.0,2.0,1.0,,Lainnya,Unfurnished,650000000
Ngemplak,Sleman,100.0,70.0,3.0,2.0,1.0,,Lainnya,,725000000
Maguwoharjo,Yogyakarta,860.0,500.0,9.0,10.0,1.0,1.0,4400 Watt,Furnished,5500000000
Mlati,Sleman,204.0,190.0,4.0,2.0,1.0,,Lainnya,,1150000000
Depok,Sleman,108.0,110.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1500000000
Ngaglik,Sleman,353.0,136.0,3.0,2.0,1.0,,Lainnya,Unfurnished,2450000000
Ngaglik,Sleman,3200.0,1000.0,5.0,5.0,1.0,,Lainnya,Unfurnished,6500000000
Ngaglik,Sleman,139.0,75.0,3.0,2.0,1.0,,Lainnya,,850000000
Ngaglik,Sleman,122.0,74.0,3.0,1.0,1.0,,Lainnya,,600000000
Mlati,Sleman,139.0,153.0,4.0,4.0,2.0,,3500 Watt,Furnished,2800000000
Ngaglik,Sleman,120.0,80.0,3.0,2.0,1.0,,Lainnya,,750000000
Ngaglik,Sleman,138.0,153.0,4.0,4.0,2.0,,3500 Watt,Furnished,2900000000
Gamping,Sleman,168.0,143.0,3.0,2.0,1.0,,2200 Watt,Furnished,6500000000
Sleman,Sleman,82.0,47.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,622000000
Sleman,Yogyakarta,140.0,153.0,4.0,4.0,2.0,,3500 Watt,Furnished,2990000000
Ngaglik,Sleman,130.0,153.0,4.0,4.0,2.0,,3500 Watt,Furnished,2800000000
Ngaglik,Sleman,111.0,75.0,3.0,2.0,1.0,1.0,1300 Watt,Unfurnished,775000000
Mlati,Sleman,171.0,160.0,3.0,3.0,2.0,,2200 Watt,Furnished,1950000000
Depok,Sleman,244.0,170.0,7.0,3.0,2.0,2.0,Lainnya,Unfurnished,2500000000
Gamping,Sleman,107.0,75.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,950000000
Sleman,Yogyakarta,111.0,45.0,2.0,1.0,1.0,,Lainnya,Unfurnished,589000000
Mlati,Sleman,168.0,110.0,2.0,2.0,1.0,,Lainnya,Unfurnished,1400000000
Mlati,Sleman,196.0,120.0,3.0,2.0,1.0,,Lainnya,Unfurnished,1800000000
Sedayu,Bantul,84.0,45.0,2.0,1.0,1.0,,Lainnya,Unfurnished,430000000
Ngaglik,Sleman,200.0,180.0,3.0,3.0,2.0,,Lainnya,Unfurnished,4400000000
Kasihan,Bantul,238.0,124.0,3.0,2.0,1.0,5.0,Lainnya,Unfurnished,695000000
Tegalrejo,Yogyakarta,316.0,375.0,5.0,5.0,2.0,2.0,Lainnya,Furnished,7500000000
Sedayu,Bantul,84.0,45.0,2.0,1.0,1.0,,Lainnya,Unfurnished,430000000
Kalasan,Sleman,91.0,36.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,390000000
Banguntapan,Bantul,74.0,48.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,520000000
Caturtunggal,Sleman,100.0,70.0,3.0,1.0,1.0,1.0,1300 Watt,Unfurnished,700000000
Bantul,Bantul,92.0,48.0,3.0,1.0,1.0,1.0,1300 Watt,Unfurnished,541800000
Condong Catur,Sleman,97.0,93.0,3.0,2.0,1.0,,Lainnya,Semi Furnished,1500000000
Sleman,Sleman,94.0,94.0,2.0,1.0,1.0,,Lainnya,Semi Furnished,550000000
Kasihan,Bantul,96.0,48.0,2.0,1.0,1.0,,Lainnya,Unfurnished,650000000
Sleman,Sleman,107.0,80.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,697000000
Godean,Sleman,114.0,165.0,,,2.0,,Lainnya,Unfurnished,520000000
Sleman,Sleman,775.0,575.0,10.0,9.0,1.0,1.0,Lainnya,,12980000000
Depok,Sleman,134.0,90.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,1100000000
Maguwoharjo,Yogyakarta,190.0,192.0,7.0,4.0,2.0,3.0,11000 Watt,,2800000000
Godean,Sleman,113.0,110.0,3.0,3.0,2.0,,3500 Watt,Furnished,1600000000
Mlati,Sleman,70.0,99.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,675000000
Godean,Sleman,118.0,114.0,3.0,3.0,2.0,,2200 Watt,Furnished,1550000000
Depok,Sleman,125.0,110.0,3.0,3.0,2.0,,2200 Watt,Furnished,1550000000
Godean,Sleman,120.0,103.0,3.0,4.0,2.0,,Lainnya,Furnished,1600000000
Kraton,Yogyakarta,851.0,830.0,8.0,5.0,2.0,2.0,Lainnya,Unfurnished,14000000000
Wonosari,Gunung Kidul,72.0,40.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,350000000
Sedayu,Bantul,73.0,36.0,2.0,1.0,1.0,,Lainnya,Unfurnished,299000000
Condong Catur,Sleman,101.0,70.0,3.0,2.0,1.0,1.0,1300 Watt,Unfurnished,825000000
Sleman,Sleman,133.0,100.0,3.0,1.0,1.0,,1300 Watt,Unfurnished,575000000
Berbah,Sleman,72.0,36.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,325000000
Umbulharjo,Yogyakarta,110.0,108.0,2.0,2.0,,,1300 Watt,Semi Furnished,650000000
Umbulharjo,Yogyakarta,171.0,150.0,3.0,1.0,1.0,,Lainnya,Unfurnished,990000000
Umbulharjo,Yogyakarta,420.0,200.0,4.0,3.0,,,2200 Watt,Semi Furnished,4250000000
Ngemplak,Sleman,165.0,100.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,725000000
Ngaglik,Sleman,165.0,100.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,725000000
Ngemplak,Sleman,165.0,100.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,725000000
Banguntapan,Bantul,99.0,105.0,4.0,3.0,2.0,1.0,2200 Watt,,1295000000
Kalasan,Sleman,165.0,100.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,725000000
Banguntapan,Bantul,150.0,390.0,11.0,3.0,3.0,1.0,Lainnya,Unfurnished,3300000000
Banguntapan,Bantul,240.0,170.0,3.0,2.0,,1.0,900 Watt,,2290000000
Mlati,Sleman,239.0,325.0,6.0,4.0,2.0,,2200 Watt,Unfurnished,3490000000
Sewon,Bantul,127.0,60.0,2.0,1.0,1.0,,2200 Watt,Unfurnished,1300000000
Sedayu,Bantul,200.0,180.0,3.0,2.0,1.0,,Lainnya,Unfurnished,600000000
Maguwoharjo,Yogyakarta,96.0,110.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1550000000
Kaliurang,Yogyakarta,248.0,496.0,9.0,9.0,3.0,2.0,Lainnya,,4200000000
Gamping,Sleman,108.0,47.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,612500000
Wirobrajan,Yogyakarta,363.0,265.0,6.0,4.0,2.0,,Lainnya,Furnished,6000000000
Kasihan,Bantul,121.0,150.0,7.0,7.0,2.0,1.0,Lainnya,Furnished,1700000000
Sleman,Sleman,82.0,57.0,2.0,1.0,1.0,,Lainnya,Unfurnished,622000000
Maguwoharjo,Yogyakarta,495.0,300.0,7.0,5.0,1.0,,Lainnya,Unfurnished,5900000000
Mlati,Sleman,110.0,146.0,4.0,4.0,2.0,,Lainnya,Unfurnished,1800000000
Sleman,Sleman,128.0,210.0,3.0,3.0,2.0,,Lainnya,Unfurnished,2800000000
Sleman,Sleman,126.0,90.0,3.0,3.0,2.0,1.0,13200 Watt,Unfurnished,900000000
Sleman,Sleman,117.0,110.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1500000000
Pengasih,Kulon Progo,114.0,50.0,2.0,1.0,1.0,,Lainnya,,457000000
Pakem,Sleman,1000.0,600.0,8.0,9.0,1.0,2.0,Lainnya,Furnished,6900000000
Sleman,Yogyakarta,,90.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1500000000
Depok,Sleman,495.0,300.0,7.0,5.0,1.0,,Lainnya,Unfurnished,5900000000
Mlati,Sleman,98.0,65.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,785000000
Banguntapan,Bantul,189.0,300.0,8.0,5.0,2.0,1.0,Lainnya,Unfurnished,1850000000
Ngemplak,Sleman,120.0,138.0,4.0,3.0,2.0,1.0,Lainnya,Furnished,2150000000
Umbulharjo,Yogyakarta,420.0,200.0,4.0,3.0,1.0,,3500 Watt,,4900000000
Ngaglik,Sleman,123.0,130.0,4.0,4.0,2.0,1.0,Lainnya,Furnished,2470000000
Sleman,Yogyakarta,90.0,55.0,3.0,2.0,1.0,,Lainnya,Unfurnished,785000000
Ngaglik,Sleman,174.0,150.0,2.0,2.0,1.0,,Lainnya,Unfurnished,1450000000
Sleman,Sleman,125.0,65.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,650000000
Depok,Sleman,318.0,320.0,4.0,3.0,2.0,,Lainnya,Semi Furnished,3000000000
Gondokusuman,Yogyakarta,69.0,100.0,7.0,3.0,2.0,,Lainnya,Unfurnished,520000000
Ngemplak,Sleman,318.0,320.0,5.0,4.0,2.0,,Lainnya,Semi Furnished,3500000000
Depok,Sleman,166.0,176.0,4.0,3.0,1.0,,Lainnya,Unfurnished,1500000000
Sleman,Sleman,153.0,140.0,3.0,1.0,1.0,,Lainnya,Unfurnished,1300000000
Wonosari,Gunung Kidul,72.0,40.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,300000000
Wates,Kulon Progo,230.0,125.0,3.0,1.0,1.0,,Lainnya,Unfurnished,600000000000
Kasihan,Bantul,100.0,300.0,3.0,2.0,,,Lainnya,,1900000
Purwomartani,Sleman,115.0,75.0,3.0,2.0,1.0,,Lainnya,Unfurnished,790000000
Cebongan,Sleman,120.0,118.0,3.0,3.0,2.0,,Lainnya,Furnished,2600000000
Sleman,Sleman,126.0,110.0,3.0,3.0,1.0,,2200 Watt,Unfurnished,1320000000
Depok,Sleman,282.0,400.0,16.0,6.0,2.0,1.0,Lainnya,Unfurnished,3250000000
Gamping,Sleman,90.0,75.0,2.0,2.0,2.0,,Lainnya,Unfurnished,1850000000
Mlati,Sleman,124.0,127.0,4.0,2.0,2.0,,2200 Watt,Unfurnished,2450000000
Gamping,Sleman,104.0,90.0,3.0,3.0,2.0,,900 Watt,Unfurnished,650000000
Wates,Kulon Progo,114.0,50.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,398000000
Condong Catur,Sleman,346.0,176.0,7.0,4.0,1.0,,2200 Watt,Unfurnished,2900000000
Kasihan,Bantul,71.0,80.0,2.0,2.0,1.0,,1300 Watt,Unfurnished,470000000
Ngaglik,Sleman,176.0,256.0,4.0,4.0,2.0,1.0,Lainnya,Unfurnished,2100000000
Sleman,Sleman,119.0,180.0,4.0,3.0,2.0,,2200 Watt,,1800000000
Depok,Sleman,166.0,176.0,4.0,3.0,2.0,1.0,Lainnya,Unfurnished,1480000000
Ngaglik,Sleman,96.0,100.0,3.0,2.0,2.0,,Lainnya,Unfurnished,950000000
Depok,Sleman,117.0,100.0,3.0,3.0,2.0,1.0,Lainnya,Furnished,2100000000
Depok,Sleman,495.0,300.0,6.0,4.0,1.0,1.0,Lainnya,Unfurnished,5900000000
Ngaglik,Sleman,151.0,141.0,3.0,4.0,2.0,,Lainnya,Unfurnished,2300000000
Ngaglik,Sleman,126.0,115.0,3.0,2.0,2.0,1.0,Lainnya,Unfurnished,1950000000
Ngaglik,Sleman,710.0,200.0,5.0,3.0,1.0,2.0,Lainnya,Unfurnished,2400000000
Ngaglik,Sleman,221.0,231.0,4.0,4.0,2.0,1.0,5500 Watt,Unfurnished,4250000000
Sleman,Sleman,119.0,180.0,4.0,3.0,2.0,,2200 Watt,,1800000000
Sleman,Sleman,172.0,125.0,3.0,2.0,,,2200 Watt,,1730000000
Ngaglik,Sleman,96.0,100.0,3.0,2.0,2.0,,Lainnya,Unfurnished,950000000
Sewon,Bantul,120.0,100.0,3.0,1.0,1.0,,Lainnya,Unfurnished,750000000
Banguntapan,Bantul,245.0,200.0,3.0,3.0,1.0,1.0,2200 Watt,Unfurnished,1650000000
Sewon,Bantul,254.0,200.0,6.0,6.0,1.0,,Lainnya,Unfurnished,1500000000
Sleman,Sleman,110.0,110.0,5.0,2.0,2.0,,1300 Watt,Unfurnished,790000000
Mlati,Sleman,110.0,110.0,5.0,2.0,2.0,,1300 Watt,Unfurnished,790000000
Sleman,Sleman,110.0,110.0,5.0,2.0,2.0,,1300 Watt,Unfurnished,790000000
Mlati,Sleman,110.0,110.0,5.0,2.0,2.0,,1300 Watt,Unfurnished,790000000
Kalasan,Sleman,702.0,500.0,7.0,5.0,2.0,1.0,2200 Watt,Furnished,4500000000
Kalasan,Sleman,227.0,122.0,3.0,2.0,1.0,,3500 Watt,Unfurnished,1400000000
Depok,Sleman,123.0,130.0,4.0,4.0,2.0,,3500 Watt,Unfurnished,2280000000
Gamping,Sleman,126.0,120.0,4.0,3.0,1.0,,Lainnya,Unfurnished,1980000000
Gamping,Sleman,80.0,45.0,2.0,,1.0,,Lainnya,Unfurnished,395000000
Depok,Sleman,150.0,170.0,4.0,2.0,1.0,1.0,4400 Watt,Unfurnished,1600000000
Depok,Sleman,137.0,207.0,2.0,2.0,1.0,,2200 Watt,Unfurnished,3250000000
Mlati,Sleman,122.0,150.0,3.0,2.0,2.0,1.0,1300 Watt,Unfurnished,1500000000
Mlati,Sleman,170.0,150.0,4.0,2.0,1.0,,1300 Watt,Unfurnished,1300000000
Banguntapan,Bantul,376.0,200.0,3.0,2.0,1.0,,11000 Watt,Unfurnished,1400000000
Depok,Sleman,100.0,91.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,850000000
Godean,Sleman,124.0,100.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,600000000
Banguntapan,Bantul,120.0,91.0,5.0,1.0,1.0,,Lainnya,Unfurnished,600000000
Umbulharjo,Yogyakarta,99.0,158.0,3.0,2.0,1.0,,2200 Watt,Furnished,1950000000
Kalasan,Sleman,433.0,175.0,5.0,2.0,1.0,,1300 Watt,,1500000000
Ngemplak,Sleman,753.0,220.0,4.0,4.0,1.0,2.0,3500 Watt,Unfurnished,2750000000
Purwomartani,Sleman,200.0,120.0,3.0,2.0,1.0,2.0,Lainnya,Furnished,1850000000
Kasihan,Bantul,127.0,113.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,450000000
Kaliurang,Sleman,337.0,140.0,2.0,2.0,1.0,1.0,2200 Watt,Unfurnished,1200000000
Tegalrejo,Yogyakarta,435.0,200.0,4.0,2.0,1.0,,Lainnya,Unfurnished,7610000000
Purwomartani,Sleman,194.0,140.0,3.0,2.0,1.0,,Lainnya,,1600000000
Umbulharjo,Yogyakarta,90.0,180.0,5.0,5.0,1.0,1.0,3500 Watt,Furnished,1450000000
Depok,Sleman,275.0,275.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,3900000000
Ngaglik,Sleman,120.0,90.0,2.0,1.0,1.0,,Lainnya,Unfurnished,650000000
Purwomartani,Yogyakarta,115.0,70.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,790000000
Bantul,Yogyakarta,72.0,36.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,295000000
Mlati,Sleman,701.0,245.0,4.0,4.0,1.0,,Lainnya,Unfurnished,2900000000
Depok,Sleman,491.0,210.0,7.0,6.0,1.0,1.0,Lainnya,,5600000000
Ngemplak,Sleman,190.0,300.0,6.0,4.0,3.0,4.0,Lainnya,Unfurnished,980000000
Kalasan,Sleman,1043.0,363.0,5.0,6.0,2.0,1.0,2200 Watt,Unfurnished,6500000000
Kalasan,Sleman,131.0,56.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,1200000000
Ngaglik,Sleman,200.0,180.0,3.0,2.0,2.0,1.0,2200 Watt,Semi Furnished,1050000000
Depok,Sleman,455.0,1200.0,32.0,32.0,4.0,8.0,2200 Watt,Furnished,15000000000
Depok,Sleman,209.0,212.0,6.0,3.0,2.0,1.0,Lainnya,Unfurnished,4800000000
Mergangsan,Yogyakarta,100.0,110.0,3.0,3.0,2.0,,Lainnya,,1250000000
Berbah,Sleman,99.0,41.0,2.0,1.0,1.0,,Lainnya,Unfurnished,529000000
Kalasan,Sleman,150.0,210.0,4.0,4.0,2.0,,2200 Watt,Furnished,1750000000
Banguntapan,Bantul,120.0,160.0,4.0,3.0,2.0,,3500 Watt,Unfurnished,1100000000
Ngaglik,Sleman,162.0,162.0,3.0,2.0,1.0,,Lainnya,Unfurnished,750000000
Purwomartani,Yogyakarta,125.0,85.0,3.0,2.0,1.0,,Lainnya,Unfurnished,950000000
Purwomartani,Yogyakarta,194.0,140.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,1600000000
Gamping,Sleman,168.0,214.0,4.0,4.0,2.0,,5500 Watt,Unfurnished,2300000000
Maguwoharjo,Yogyakarta,99.0,66.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,825000000
Gondokusuman,Yogyakarta,448.0,350.0,15.0,5.0,2.0,,2200 Watt,Unfurnished,4500000000
Wirobrajan,Yogyakarta,103.0,120.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1650000000
Sedayu,Bantul,74.0,36.0,2.0,1.0,1.0,,Lainnya,Unfurnished,299000000
Ngaglik,Sleman,121.0,45.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,670000000
Kalasan,Sleman,107.0,70.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,590000000
Kalasan,Sleman,136.0,179.0,3.0,2.0,2.0,,2200 Watt,,2500000000
Mlati,Sleman,103.0,110.0,4.0,2.0,2.0,,2200 Watt,Unfurnished,1390000000
Seyegan,Sleman,102.0,55.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,595000000
Ngaglik,Sleman,70.0,57.0,2.0,1.0,1.0,,2200 Watt,Furnished,739000000
Ngemplak,Sleman,130.0,130.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1550000000
Kotagede,Yogyakarta,410.0,400.0,5.0,5.0,1.0,,1300 Watt,Unfurnished,2750000000
Ngaglik,Sleman,139.0,175.0,4.0,4.0,2.0,,2200 Watt,Unfurnished,1900000000
Sleman,Sleman,110.0,110.0,5.0,2.0,2.0,,1300 Watt,Unfurnished,790000000
Ngemplak,Sleman,130.0,60.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,800000000
Ngaglik,Sleman,226.0,250.0,4.0,3.0,,,1300 Watt,,3500000000
Banguntapan,Bantul,111.0,178.0,4.0,2.0,2.0,,4400 Watt,Furnished,1850000000
Depok,Sleman,560.0,150.0,3.0,1.0,1.0,,1300 Watt,Unfurnished,2500000000
Kalasan,Sleman,172.0,125.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,1730000000
Gamping,Sleman,104.0,90.0,3.0,,2.0,,900 Watt,Unfurnished,650000000
Ngaglik,Sleman,710.0,200.0,5.0,3.0,1.0,1.0,900 Watt,Unfurnished,2400000000
Depok,Sleman,305.0,250.0,12.0,3.0,1.0,,1300 Watt,Unfurnished,3700000000
Gamping,Sleman,135.0,115.0,2.0,2.0,2.0,,4400 Watt,Unfurnished,1800000000
Ngaglik,Sleman,176.0,256.0,4.0,4.0,1.0,,2200 Watt,Unfurnished,2100000000
Gamping,Sleman,197.0,196.0,4.0,4.0,1.0,,5500 Watt,Semi Furnished,3900000000
Sleman,Yogyakarta,85.0,60.0,2.0,1.0,1.0,,2200 Watt,Unfurnished,625000000
Depok,Sleman,144.0,200.0,4.0,4.0,2.0,,2200 Watt,,1750000000
Depok,Sleman,85.0,60.0,2.0,1.0,1.0,,2200 Watt,Semi Furnished,625000000
Pajangan,Bantul,96.0,60.0,3.0,1.0,1.0,1.0,Lainnya,Unfurnished,450000000
Kalasan,Sleman,702.0,500.0,7.0,5.0,2.0,1.0,2200 Watt,Furnished,4500000000
Depok,Sleman,150.0,140.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,1250000000
Depok,Sleman,117.0,100.0,3.0,3.0,2.0,1.0,2200 Watt,Furnished,2100000000
Ngaglik,Sleman,144.0,126.0,3.0,2.0,1.0,,3500 Watt,Unfurnished,1740000000
Depok,Sleman,100.0,91.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,850000000
Depok,Sleman,491.0,350.0,8.0,6.0,1.0,,2200 Watt,Unfurnished,5500000000
Mlati,Sleman,780.0,850.0,6.0,8.0,2.0,1.0,4400 Watt,Unfurnished,17500000000
Kalasan,Sleman,296.0,288.0,6.0,4.0,2.0,,4400 Watt,Furnished,4000000000
Banguntapan,Bantul,61.0,45.0,2.0,1.0,1.0,,Lainnya,Unfurnished,485000000
Kalasan,Sleman,160.0,160.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,1250000000
Depok,Sleman,456.0,450.0,4.0,4.0,2.0,,2200 Watt,Unfurnished,6500000000
Ngaglik,Sleman,126.0,115.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,1950000000
Mlati,Sleman,225.0,300.0,7.0,4.0,1.0,,3500 Watt,Unfurnished,3100000000
Gondokusuman,Yogyakarta,298.0,100.0,4.0,2.0,1.0,,Lainnya,Unfurnished,2500000000
Umbulharjo,Yogyakarta,164.0,146.0,3.0,2.0,2.0,,Lainnya,Unfurnished,750000000
Ngemplak,Sleman,199.0,150.0,7.0,7.0,1.0,,1300 Watt,Unfurnished,2200000000
Tegalrejo,Yogyakarta,94.0,135.0,3.0,3.0,2.0,,Lainnya,Semi Furnished,2100000000
Ngaglik,Sleman,221.0,231.0,4.0,4.0,2.0,,5500 Watt,Unfurnished,4250000000
Mlati,Sleman,124.0,127.0,4.0,2.0,2.0,,2200 Watt,Unfurnished,2450000000
Depok,Sleman,365.0,390.0,7.0,4.0,1.0,1.0,5500 Watt,Unfurnished,4500000000
Depok,Sleman,432.0,500.0,12.0,5.0,2.0,,2200 Watt,Unfurnished,4800000000
Depok,Sleman,518.0,350.0,6.0,6.0,1.0,1.0,11000 Watt,Unfurnished,4900000000
Ngaglik,Sleman,152.0,150.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,2900000000
Mlati,Sleman,780.0,850.0,6.0,8.0,2.0,,4400 Watt,Unfurnished,17500000000
Sidoarum,Yogyakarta,108.0,109.0,3.0,3.0,2.0,,2200 Watt,Semi Furnished,1550000000
Sleman,Sleman,398.0,300.0,7.0,5.0,2.0,1.0,2200 Watt,Furnished,6500000000
Depok,Sleman,314.0,250.0,4.0,3.0,1.0,1.0,1300 Watt,Unfurnished,4980000000
Kalasan,Sleman,136.0,179.0,3.0,2.0,2.0,,2200 Watt,Furnished,2500000000
Ngaglik,Sleman,96.0,100.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,950000000
Ngaglik,Sleman,262.0,155.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,1200000000
Depok,Sleman,117.0,100.0,3.0,3.0,1.0,1.0,2200 Watt,Furnished,2100000000
Ngaglik,Sleman,96.0,100.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,950000000
Purwomartani,Sleman,194.0,140.0,3.0,2.0,1.0,,2200 Watt,Furnished,1600000000
Prambanan,Sleman,70.0,36.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,299000000
Godean,Sleman,103.0,70.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,750000000
